osmid,landuse,ZONENUMMER,STGB,NIS_GEM,NIS_GEM_L,VREGIO,VREGIO_L,area_calc
"23792292",industrial,"1588","1","31005",31005 BRUGGE,"3",BRUGGE,0.0210500472182911
"23792292",industrial,"1640","1","31005",31005 BRUGGE,"3",BRUGGE,0.569803964475197
"78168700",commercial,"1600","1","31005",31005 BRUGGE,"3",BRUGGE,0.00221332194457855
"92288221",recreation_ground,"1632","1","31005",31005 BRUGGE,"3",BRUGGE,0.0036162119046431
"100857560",industrial,"1595","1","31005",31005 BRUGGE,"3",BRUGGE,0.0454637600881506
"135999733",commercial,"1588","1","31005",31005 BRUGGE,"3",BRUGGE,0.0222036925930979
"136487228",residential,"1641","1","31005",31005 BRUGGE,"3",BRUGGE,0.00846393473896198
"141889143",residential,"1619","1","31005",31005 BRUGGE,"3",BRUGGE,0.443858415371376
"141891464",residential,"1593","1","31005",31005 BRUGGE,"3",BRUGGE,0.0693645384083535
"141891464",residential,"1619","1","31005",31005 BRUGGE,"3",BRUGGE,0.140499346612931
"151768139",residential,"1634","1","31005",31005 BRUGGE,"3",BRUGGE,0.108666583744847
"151777501",residential,"1633","1","31005",31005 BRUGGE,"3",BRUGGE,0.253515312042684
"151777795",residential,"1633","1","31005",31005 BRUGGE,"3",BRUGGE,0.122444067580319
"151778040",residential,"1633","1","31005",31005 BRUGGE,"3",BRUGGE,0.0905979716862151
"152538985",residential,"1619","1","31005",31005 BRUGGE,"3",BRUGGE,0.105872730837588
"152538985",residential,"1622","1","31005",31005 BRUGGE,"3",BRUGGE,6.25984766741749e-06
"152539535",residential,"1596","1","31005",31005 BRUGGE,"3",BRUGGE,3.66473829625174e-05
"152539535",residential,"1624","1","31005",31005 BRUGGE,"3",BRUGGE,0.0837210792407077
"152540661",residential,"1620","1","31005",31005 BRUGGE,"3",BRUGGE,0.0424292494137397
"152540661",residential,"1621","1","31005",31005 BRUGGE,"3",BRUGGE,0.151966506470525
"152540661",residential,"1624","1","31005",31005 BRUGGE,"3",BRUGGE,0.285827437646054
"152541391",residential,"1620","1","31005",31005 BRUGGE,"3",BRUGGE,0.0698135712029375
"152543411",residential,"1597","1","31005",31005 BRUGGE,"3",BRUGGE,0.000293264243757352
"152543411",residential,"1620","1","31005",31005 BRUGGE,"3",BRUGGE,0.390244686147982
"152543411",residential,"1621","1","31005",31005 BRUGGE,"3",BRUGGE,0.12218491886253
"152543411",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,4.37133844569325e-06
"152551941",residential,"1620","1","31005",31005 BRUGGE,"3",BRUGGE,0.0613878370502684
"152552646",residential,"1620","1","31005",31005 BRUGGE,"3",BRUGGE,0.0213679241900519
"152552646",residential,"1621","1","31005",31005 BRUGGE,"3",BRUGGE,0.00457257561031356
"152557927",residential,"1626","1","31005",31005 BRUGGE,"3",BRUGGE,0.015080143778876
"152558535",residential,"1626","1","31005",31005 BRUGGE,"3",BRUGGE,0.00309472132954095
"152561322",residential,"1625","1","31005",31005 BRUGGE,"3",BRUGGE,0.000899880002908409
"152561322",residential,"1626","1","31005",31005 BRUGGE,"3",BRUGGE,0.507916825890502
"152561322",residential,"1627","1","31005",31005 BRUGGE,"3",BRUGGE,0.00430426255482435
"152566447",residential,"1628","1","31005",31005 BRUGGE,"3",BRUGGE,0.00353806299830356
"152735287",residential,"1628","1","31005",31005 BRUGGE,"3",BRUGGE,0.033866770205867
"152737379",residential,"1628","1","31005",31005 BRUGGE,"3",BRUGGE,0.113162848391213
"152737381",residential,"1628","1","31005",31005 BRUGGE,"3",BRUGGE,0.0897840891789412
"152738168",residential,"1628","1","31005",31005 BRUGGE,"3",BRUGGE,0.0723771628055694
"152738168",residential,"1629","1","31005",31005 BRUGGE,"3",BRUGGE,0.0451124873730382
"152740481",residential,"1629","1","31005",31005 BRUGGE,"3",BRUGGE,0.0130460096539482
"152740481",residential,"1630","1","31005",31005 BRUGGE,"3",BRUGGE,7.7898043692112e-06
"152741678",residential,"1629","1","31005",31005 BRUGGE,"3",BRUGGE,0.034060455584276
"152742246",residential,"1629","1","31005",31005 BRUGGE,"3",BRUGGE,0.00969721160640009
"152742246",residential,"1630","1","31005",31005 BRUGGE,"3",BRUGGE,0.179586218924653
"152742835",residential,"1598","1","31005",31005 BRUGGE,"3",BRUGGE,0.00135326215486974
"152742835",residential,"1630","1","31005",31005 BRUGGE,"3",BRUGGE,0.00767404556839541
"152742837",residential,"1630","1","31005",31005 BRUGGE,"3",BRUGGE,0.184634862105868
"152743670",residential,"1625","1","31005",31005 BRUGGE,"3",BRUGGE,0.000308995342433453
"152743670",residential,"1630","1","31005",31005 BRUGGE,"3",BRUGGE,0.11046808840701
"152744197",residential,"1625","1","31005",31005 BRUGGE,"3",BRUGGE,0.00333232412654068
"152745095",residential,"1625","1","31005",31005 BRUGGE,"3",BRUGGE,0.0469363895861953
"152745095",residential,"1630","1","31005",31005 BRUGGE,"3",BRUGGE,0.0377564900185615
"152745357",residential,"1625","1","31005",31005 BRUGGE,"3",BRUGGE,0.149773081681015
"152745582",residential,"1625","1","31005",31005 BRUGGE,"3",BRUGGE,0.0408316415035548
"152745730",residential,"1625","1","31005",31005 BRUGGE,"3",BRUGGE,0.0842737385237226
"152745815",residential,"1625","1","31005",31005 BRUGGE,"3",BRUGGE,0.0145714540404864
"152745815",residential,"1626","1","31005",31005 BRUGGE,"3",BRUGGE,0.0229342197513189
"152746175",residential,"1626","1","31005",31005 BRUGGE,"3",BRUGGE,0.0470239854174405
"152746335",residential,"1626","1","31005",31005 BRUGGE,"3",BRUGGE,0.0416745489870352
"152746698",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.00258839633641392
"152746698",residential,"1625","1","31005",31005 BRUGGE,"3",BRUGGE,0.00437061656963825
"152746698",residential,"1626","1","31005",31005 BRUGGE,"3",BRUGGE,0.161264431759838
"152746769",residential,"1626","1","31005",31005 BRUGGE,"3",BRUGGE,0.0237806799879768
"152746929",residential,"1626","1","31005",31005 BRUGGE,"3",BRUGGE,0.00581010035699839
"152747132",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.108642768575113
"152748731",residential,"1625","1","31005",31005 BRUGGE,"3",BRUGGE,0.0714267826614184
"152748904",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.10271749533679
"152749229",residential,"1620","1","31005",31005 BRUGGE,"3",BRUGGE,1.30855727568269e-05
"152749229",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.0565518829234429
"152751679",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.221068494277852
"152751679",residential,"1626","1","31005",31005 BRUGGE,"3",BRUGGE,0.00010855640248023
"152752583",residential,"1625","1","31005",31005 BRUGGE,"3",BRUGGE,2.56215251218528e-05
"152752583",residential,"1626","1","31005",31005 BRUGGE,"3",BRUGGE,0.0321392323641479
"152752586",residential,"1625","1","31005",31005 BRUGGE,"3",BRUGGE,0.000387960129342973
"152752586",residential,"1626","1","31005",31005 BRUGGE,"3",BRUGGE,0.00828604309928417
"152752660",residential,"1628","1","31005",31005 BRUGGE,"3",BRUGGE,0.11058006296264
"152752726",residential,"1625","1","31005",31005 BRUGGE,"3",BRUGGE,0.0181754867165415
"152752726",residential,"1628","1","31005",31005 BRUGGE,"3",BRUGGE,0.127210087858644
"152924318",residential,"1620","1","31005",31005 BRUGGE,"3",BRUGGE,0.136078618895606
"152924318",residential,"1621","1","31005",31005 BRUGGE,"3",BRUGGE,0.00422090076382179
"152924318",residential,"1630","1","31005",31005 BRUGGE,"3",BRUGGE,0.103158882612401
"152924415",residential,"1621","1","31005",31005 BRUGGE,"3",BRUGGE,0.0352168442895247
"152924533",residential,"1597","1","31005",31005 BRUGGE,"3",BRUGGE,0.00315644393871445
"152924533",residential,"1621","1","31005",31005 BRUGGE,"3",BRUGGE,0.0310917003430175
"152924677",residential,"1621","1","31005",31005 BRUGGE,"3",BRUGGE,0.0463332431896869
"152924749",residential,"1621","1","31005",31005 BRUGGE,"3",BRUGGE,0.0157109639915917
"152924842",residential,"1621","1","31005",31005 BRUGGE,"3",BRUGGE,0.0066378189150691
"152924842",residential,"1630","1","31005",31005 BRUGGE,"3",BRUGGE,0.0129013732758164
"152924884",residential,"1630","1","31005",31005 BRUGGE,"3",BRUGGE,0.0752186373807052
"152925277",residential,"1630","1","31005",31005 BRUGGE,"3",BRUGGE,0.064763799616754
"152925442",residential,"1630","1","31005",31005 BRUGGE,"3",BRUGGE,0.0289345203353297
"152925528",residential,"1630","1","31005",31005 BRUGGE,"3",BRUGGE,0.0318130258795433
"152925703",residential,"1630","1","31005",31005 BRUGGE,"3",BRUGGE,0.100759708568785
"152926085",residential,"1625","1","31005",31005 BRUGGE,"3",BRUGGE,0.0559497742832825
"152926085",residential,"1630","1","31005",31005 BRUGGE,"3",BRUGGE,4.82132518198341e-05
"152926490",residential,"1625","1","31005",31005 BRUGGE,"3",BRUGGE,0.0165810279275938
"152926490",residential,"1630","1","31005",31005 BRUGGE,"3",BRUGGE,0.0227869654880143
"152926956",residential,"1630","1","31005",31005 BRUGGE,"3",BRUGGE,0.025280524141443
"152927763",residential,"1630","1","31005",31005 BRUGGE,"3",BRUGGE,0.0267257582293786
"152927992",residential,"1620","1","31005",31005 BRUGGE,"3",BRUGGE,0.0191616617213171
"152927992",residential,"1625","1","31005",31005 BRUGGE,"3",BRUGGE,0.0176414400206655
"152927992",residential,"1630","1","31005",31005 BRUGGE,"3",BRUGGE,0.106469363506552
"152928090",residential,"1625","1","31005",31005 BRUGGE,"3",BRUGGE,0.0105941832222864
"152928147",residential,"1620","1","31005",31005 BRUGGE,"3",BRUGGE,0.0308572413801961
"152928147",residential,"1625","1","31005",31005 BRUGGE,"3",BRUGGE,0.0120300271982886
"152928169",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.0177115112368716
"152928198",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.0183474704841599
"152928346",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.014673721451723
"152930168",residential,"1628","1","31005",31005 BRUGGE,"3",BRUGGE,0.0812410392540796
"153241697",residential,"1632","1","31005",31005 BRUGGE,"3",BRUGGE,0.0387524247445073
"153242529",residential,"1628","1","31005",31005 BRUGGE,"3",BRUGGE,0.0353232419111896
"153242529",residential,"1629","1","31005",31005 BRUGGE,"3",BRUGGE,0.000728209463687614
"153245519",residential,"1637","1","31005",31005 BRUGGE,"3",BRUGGE,0.0237765569749773
"153245519",residential,"1638","1","31005",31005 BRUGGE,"3",BRUGGE,0.240089368006021
"153245670",residential,"1637","1","31005",31005 BRUGGE,"3",BRUGGE,0.0220038269173838
"153245851",residential,"1638","1","31005",31005 BRUGGE,"3",BRUGGE,0.194844810927456
"153245995",residential,"1638","1","31005",31005 BRUGGE,"3",BRUGGE,0.0120757973623527
"153270724",residential,"1633","1","31005",31005 BRUGGE,"3",BRUGGE,0.00394660873241723
"153270724",residential,"1634","1","31005",31005 BRUGGE,"3",BRUGGE,0.0306660564044192
"153270803",residential,"1634","1","31005",31005 BRUGGE,"3",BRUGGE,0.0902775625499505
"153270888",residential,"1634","1","31005",31005 BRUGGE,"3",BRUGGE,0.0402398635785161
"153270941",residential,"1632","1","31005",31005 BRUGGE,"3",BRUGGE,0.0306498482800657
"153270941",residential,"1634","1","31005",31005 BRUGGE,"3",BRUGGE,0.0847303147464413
"153271082",residential,"1634","1","31005",31005 BRUGGE,"3",BRUGGE,0.0211828610020603
"153271648",residential,"1632","1","31005",31005 BRUGGE,"3",BRUGGE,0.0321237733950559
"153271653",residential,"1632","1","31005",31005 BRUGGE,"3",BRUGGE,0.00618439618206024
"153271712",residential,"1632","1","31005",31005 BRUGGE,"3",BRUGGE,0.0338956258575971
"153271737",residential,"1632","1","31005",31005 BRUGGE,"3",BRUGGE,0.0127880403674822
"153271806",residential,"1632","1","31005",31005 BRUGGE,"3",BRUGGE,0.0348631446361071
"153271876",residential,"1631","1","31005",31005 BRUGGE,"3",BRUGGE,8.04075982471404e-05
"153271876",residential,"1632","1","31005",31005 BRUGGE,"3",BRUGGE,0.00372844350969419
"153272014",residential,"1632","1","31005",31005 BRUGGE,"3",BRUGGE,0.175768362167355
"153272215",residential,"1631","1","31005",31005 BRUGGE,"3",BRUGGE,0.00040974382497312
"153272215",residential,"1632","1","31005",31005 BRUGGE,"3",BRUGGE,0.0492308617506406
"153272324",residential,"1632","1","31005",31005 BRUGGE,"3",BRUGGE,0.00520930025131069
"157629175",residential,"1636","1","31005",31005 BRUGGE,"3",BRUGGE,0.270431219675962
"157629175",residential,"1637","1","31005",31005 BRUGGE,"3",BRUGGE,0.0426104543270841
"157629176",residential,"1637","1","31005",31005 BRUGGE,"3",BRUGGE,0.0488385100479126
"157629176",residential,"1638","1","31005",31005 BRUGGE,"3",BRUGGE,0.000570615319495264
"157629177",residential,"1637","1","31005",31005 BRUGGE,"3",BRUGGE,0.126650531233445
"157629527",residential,"1636","1","31005",31005 BRUGGE,"3",BRUGGE,0.0463339993798928
"157629528",residential,"1636","1","31005",31005 BRUGGE,"3",BRUGGE,0.230885757149813
"157629678",residential,"1638","1","31005",31005 BRUGGE,"3",BRUGGE,0.0803732362560673
"157629679",residential,"1640","1","31005",31005 BRUGGE,"3",BRUGGE,0.359805065409199
"157629856",residential,"1636","1","31005",31005 BRUGGE,"3",BRUGGE,0.381101888065638
"157629969",residential,"1636","1","31005",31005 BRUGGE,"3",BRUGGE,0.015738059663909
"157630225",residential,"1636","1","31005",31005 BRUGGE,"3",BRUGGE,0.0956509682901842
"159171671",residential,"1631","1","31005",31005 BRUGGE,"3",BRUGGE,0.0261991134396028
"159174231",residential,"1631","1","31005",31005 BRUGGE,"3",BRUGGE,0.0842935253227527
"159196628",residential,"1639","1","31005",31005 BRUGGE,"3",BRUGGE,0.0417492412090921
"159204548",residential,"1639","1","31005",31005 BRUGGE,"3",BRUGGE,0.0854792985685547
"159209363",residential,"1639","1","31005",31005 BRUGGE,"3",BRUGGE,0.134056135970463
"159211942",residential,"1631","1","31005",31005 BRUGGE,"3",BRUGGE,0.0726183946354631
"159211942",residential,"1635","1","31005",31005 BRUGGE,"3",BRUGGE,0.454742117558461
"159211942",residential,"1639","1","31005",31005 BRUGGE,"3",BRUGGE,0.221608399456406
"159216649",residential,"1639","1","31005",31005 BRUGGE,"3",BRUGGE,0.284350666398633
"159216655",residential,"1639","1","31005",31005 BRUGGE,"3",BRUGGE,0.020407246037513
"159223995",residential,"1633","1","31005",31005 BRUGGE,"3",BRUGGE,0.0679382420726852
"159223995",residential,"1636","1","31005",31005 BRUGGE,"3",BRUGGE,0.0808938255367102
"159225550",residential,"1633","1","31005",31005 BRUGGE,"3",BRUGGE,0.0905687104494499
"159227103",residential,"1633","1","31005",31005 BRUGGE,"3",BRUGGE,0.152216367657186
"159227103",residential,"1642","1","31005",31005 BRUGGE,"3",BRUGGE,0.142033319857597
"159232126",residential,"1642","1","31005",31005 BRUGGE,"3",BRUGGE,0.538175475110333
"159494780",residential,"1637","1","31005",31005 BRUGGE,"3",BRUGGE,0.0390303383724317
"159495059",residential,"1637","1","31005",31005 BRUGGE,"3",BRUGGE,0.126475788918575
"160171375",residential,"1617","1","31005",31005 BRUGGE,"3",BRUGGE,0.602803329103807
"160281039",residential,"1594","1","31005",31005 BRUGGE,"3",BRUGGE,0.139781117794208
"160281039",residential,"1617","1","31005",31005 BRUGGE,"3",BRUGGE,0.0677583998647949
"160282018",residential,"1591","1","31005",31005 BRUGGE,"3",BRUGGE,0.068238983828478
"160282861",residential,"1590","1","31005",31005 BRUGGE,"3",BRUGGE,0.126655453308612
"160282862",residential,"1589","1","31005",31005 BRUGGE,"3",BRUGGE,0.23017824242513
"160282866",residential,"1590","1","31005",31005 BRUGGE,"3",BRUGGE,0.000164575113132596
"160282866",residential,"1591","1","31005",31005 BRUGGE,"3",BRUGGE,0.0379536134726834
"160921562",industrial,"1641","1","31005",31005 BRUGGE,"3",BRUGGE,0.199337577688079
"161256178",residential,"1590","1","31005",31005 BRUGGE,"3",BRUGGE,0.0351767821792159
"161256179",residential,"1590","1","31005",31005 BRUGGE,"3",BRUGGE,0.0569021552770692
"164091245",residential,"1620","1","31005",31005 BRUGGE,"3",BRUGGE,0.0109598541613296
"164091245",residential,"1622","1","31005",31005 BRUGGE,"3",BRUGGE,0.0221664395221007
"164091245",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,1.20332912667859
"171980123",retail,"1620","1","31005",31005 BRUGGE,"3",BRUGGE,0.00135097984834015
"171980124",retail,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.0029767247229442
"171980125",retail,"1620","1","31005",31005 BRUGGE,"3",BRUGGE,0.0462991452283123
"171980354",retail,"1620","1","31005",31005 BRUGGE,"3",BRUGGE,0.0189900663482025
"179745622",residential,"1619","1","31005",31005 BRUGGE,"3",BRUGGE,0.00109004538829252
"192291863",residential,"1592","1","31005",31005 BRUGGE,"3",BRUGGE,0.00450442890961841
"198150374",residential,"1600","1","31005",31005 BRUGGE,"3",BRUGGE,0.0046642338146066
"198150374",residential,"1639","1","31005",31005 BRUGGE,"3",BRUGGE,0.0191063132832885
"198150374",residential,"1640","1","31005",31005 BRUGGE,"3",BRUGGE,0.292321144994333
"223674441",recreation_ground,"1633","1","31005",31005 BRUGGE,"3",BRUGGE,0.0106002765206173
"224993816",industrial,"1602","1","31005",31005 BRUGGE,"3",BRUGGE,0.689267027976512
"224993828",industrial,"1595","1","31005",31005 BRUGGE,"3",BRUGGE,0.00176285911593586
"224993828",industrial,"1602","1","31005",31005 BRUGGE,"3",BRUGGE,1.48892268431519
"224993828",industrial,"1617","1","31005",31005 BRUGGE,"3",BRUGGE,0.00060747736177966
"240393345",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.805626549652004
"244460825",industrial,"1632","1","31005",31005 BRUGGE,"3",BRUGGE,0.394407703985374
"244462910",industrial,"1633","1","31005",31005 BRUGGE,"3",BRUGGE,0.12462597977897
"244727272",industrial,"1602","1","31005",31005 BRUGGE,"3",BRUGGE,0.053223751016156
"244968775",commercial,"1591","1","31005",31005 BRUGGE,"3",BRUGGE,0.100635306794794
"244968775",commercial,"1595","1","31005",31005 BRUGGE,"3",BRUGGE,0.898936862573658
"244968775",commercial,"1602","1","31005",31005 BRUGGE,"3",BRUGGE,0.212931678149893
"245812528",residential,"1643","1","31005",31005 BRUGGE,"3",BRUGGE,0.0058619098465608
"281780839",residential,"1591","1","31005",31005 BRUGGE,"3",BRUGGE,0.135479288247179
"281785220",residential,"1602","1","31005",31005 BRUGGE,"3",BRUGGE,0.00741059133789688
"281785764",residential,"1602","1","31005",31005 BRUGGE,"3",BRUGGE,0.0037221740155071
"284962932",residential,"1591","1","31005",31005 BRUGGE,"3",BRUGGE,0.00878205855925474
"300573312",recreation_ground,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.0071092095400989
"313451432",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.01281405893692
"313451442",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.000510660330601036
"313451456",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.0235178231311161
"313451461",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,4.25669469162822e-05
"313583969",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.0359377911338452
"313583977",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.00125238098354731
"313583979",residential,"1626","1","31005",31005 BRUGGE,"3",BRUGGE,0.00138441352088004
"313583983",retail,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.0057793514641542
"313693780",residential,"1623","1","31005",31005 BRUGGE,"3",BRUGGE,0.00171295927219652
"313717343",residential,"1622","1","31005",31005 BRUGGE,"3",BRUGGE,0.00321176137087448
"313717345",residential,"1622","1","31005",31005 BRUGGE,"3",BRUGGE,0.0253999440943971
"313717347",residential,"1622","1","31005",31005 BRUGGE,"3",BRUGGE,0.0098116811645627
"313717375",residential,"1622","1","31005",31005 BRUGGE,"3",BRUGGE,0.0025803397154808
"313717382",residential,"1622","1","31005",31005 BRUGGE,"3",BRUGGE,0.00449505388171971
"313717394",residential,"1622","1","31005",31005 BRUGGE,"3",BRUGGE,0.00742385426767345
