,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,0.0,7.6,7.7,17.3,9.8,3.5,13.0,2.1,2.4,7.4,12.5,3.9,2.5,7.9,6.2,4.5,5.9,2.7,7.4,1.6,3.6,0.5,0.4,2.7,1.8,0.9,1.0,8.8,3.4,2.2,0.5,0.5,4.8,0.0,1.6
1,9.8,0.0,5.8,27.2,9.2,6.1,12.4,1.4,3.5,7.9,5.9,1.8,2.8,5.8,6.4,6.0,5.6,10.2,8.2,2.4,0.0,5.3,2.5,6.4,2.5,0.0,3.5,7.5,2.0,3.8,0.0,0.0,1.6,1.0,3.5
2,10.2,3.9,0.0,19.4,7.3,6.6,23.0,8.0,6.0,14.5,10.2,4.0,11.8,2.9,7.7,5.8,11.5,9.4,3.1,0.8,0.9,5.6,6.0,4.0,2.0,0.0,3.8,9.6,5.8,3.4,1.9,0.7,1.0,0.3,4.5
3,31.5,32.2,16.5,0.0,18.8,18.8,23.0,4.2,6.9,23.6,21.2,8.1,14.3,13.1,11.6,13.8,24.3,27.3,15.8,5.5,2.1,14.9,4.2,11.1,1.0,1.9,7.8,24.9,8.1,11.5,2.5,2.0,4.8,1.7,2.3
4,12.6,6.9,5.7,12.7,0.0,2.5,9.3,1.3,3.1,3.4,9.7,3.3,5.7,6.1,12.5,6.9,5.9,6.1,3.9,0.6,0.9,0.7,2.2,2.1,0.0,0.0,2.7,10.2,5.6,5.2,0.6,0.0,5.0,1.8,3.7
5,0.4,1.7,1.2,5.6,0.6,0.0,2.7,0.6,0.0,1.6,0.9,1.7,5.0,3.5,0.5,3.7,1.3,7.2,1.6,1.7,3.7,1.6,2.8,4.8,2.5,0.0,1.7,5.6,2.5,2.0,1.5,0.0,3.3,0.8,1.8
6,37.1,18.0,32.7,37.5,17.8,16.2,0.0,14.9,18.0,51.3,30.7,8.3,19.8,16.5,9.2,7.2,25.2,15.5,13.6,4.0,2.4,21.0,11.8,5.5,3.5,0.9,7.9,16.1,4.3,3.5,1.5,0.0,4.5,2.5,5.5
7,6.5,4.4,11.0,8.8,4.9,4.8,13.5,0.0,4.4,21.2,10.7,1.7,11.1,6.0,7.0,5.0,9.3,5.1,1.9,0.0,1.6,1.9,7.4,0.9,0.0,1.0,6.7,8.0,5.5,0.0,0.0,0.0,2.9,2.0,2.6
8,4.3,2.5,5.8,10.9,3.5,1.3,14.1,4.9,0.0,12.6,6.7,1.2,5.2,1.6,2.8,4.1,2.2,5.4,1.7,0.8,0.0,2.6,4.1,0.0,1.9,1.8,5.2,6.1,1.9,1.0,0.0,0.9,0.0,0.8,1.7
9,11.9,4.3,14.1,24.0,6.6,9.1,33.3,10.6,14.0,0.0,15.5,10.1,15.2,4.3,9.6,3.7,14.9,12.0,7.3,2.4,1.7,6.2,13.5,4.0,1.0,1.7,9.5,13.3,8.3,4.6,0.8,1.7,9.8,2.8,8.9
10,28.4,15.0,32.0,35.1,17.3,10.1,35.4,8.3,10.8,28.3,0.0,17.3,39.1,14.1,14.4,11.5,16.8,11.8,8.6,0.0,1.7,13.0,13.4,6.2,3.5,1.6,20.9,19.7,9.8,3.9,0.0,1.0,7.1,1.7,9.8
11,14.8,11.6,16.0,19.8,13.3,8.8,13.6,5.2,6.5,25.5,24.7,0.0,9.5,8.4,18.5,8.9,14.8,10.4,7.2,0.8,0.7,4.5,5.6,5.5,0.8,0.8,6.3,22.1,5.5,5.5,0.6,0.9,8.4,1.7,14.1
12,15.6,5.1,18.6,21.5,6.7,9.4,23.0,8.2,5.2,22.7,27.6,11.8,0.0,5.5,5.9,6.2,11.1,11.5,5.7,0.9,0.0,3.7,6.9,1.2,2.5,0.0,5.7,7.9,3.9,2.8,0.0,0.0,3.9,3.7,7.9
13,7.4,10.4,4.7,16.3,10.3,10.5,7.8,4.1,3.8,11.3,11.3,4.6,1.7,0.0,10.0,9.7,8.7,12.0,2.5,0.0,0.0,5.2,1.5,3.7,1.7,0.0,2.8,15.3,3.8,6.1,0.8,0.0,3.6,0.8,1.9
14,20.5,6.5,9.4,21.8,19.0,10.1,17.0,3.7,8.3,15.4,15.3,11.6,7.4,9.0,0.0,25.0,26.2,9.4,9.8,1.0,2.8,8.6,2.9,4.0,0.9,0.7,6.8,22.3,8.1,2.9,5.2,0.0,4.9,1.8,8.1
15,17.4,13.8,13.9,18.1,15.4,7.8,10.1,3.2,6.4,15.6,11.8,7.4,6.4,8.4,21.8,0.0,14.0,12.4,6.6,2.7,0.6,7.7,1.5,4.4,0.9,0.9,5.3,23.7,5.5,4.1,2.8,0.0,6.6,1.9,2.8
16,4.8,4.2,6.9,12.2,8.2,1.7,10.2,3.1,2.8,3.9,12.3,4.2,4.0,0.8,6.0,5.3,0.0,5.1,6.8,0.0,1.7,3.5,2.7,0.8,0.0,0.0,2.6,16.6,2.5,4.7,0.0,0.0,0.0,0.0,3.9
17,22.7,14.0,15.3,47.9,12.7,15.3,14.1,4.7,5.6,24.1,8.1,4.5,4.9,15.2,13.6,5.1,15.5,0.0,51.1,3.7,9.8,8.4,5.7,22.9,7.5,0.0,5.7,11.8,0.0,19.5,0.8,0.0,4.5,1.9,5.0
18,6.8,5.6,6.2,20.0,6.8,11.1,5.6,3.3,1.7,7.7,3.3,4.8,1.8,10.3,6.6,2.7,5.5,35.5,0.0,2.3,5.4,2.1,0.8,18.3,6.2,0.0,2.8,8.7,1.0,14.0,0.0,0.0,0.0,1.0,3.8
19,3.3,2.5,0.9,5.7,0.0,4.0,4.7,0.0,0.9,6.8,0.9,1.0,2.7,1.9,2.6,2.4,2.5,5.7,3.2,0.0,1.0,1.3,0.0,1.9,0.0,0.0,0.0,0.9,0.0,0.9,1.0,0.0,0.0,0.0,0.0
20,3.8,5.0,1.9,5.3,8.3,6.8,4.4,0.9,0.1,5.9,2.6,1.9,1.0,2.7,6.3,0.0,6.6,10.2,11.3,1.0,0.0,1.5,1.0,2.8,0.0,0.9,1.7,4.6,0.6,0.0,0.9,0.0,1.7,0.8,0.0
21,1.4,5.3,3.6,8.0,3.3,5.0,6.7,2.5,0.0,9.2,1.6,2.7,3.2,1.7,2.4,0.8,1.3,4.9,2.3,0.9,0.0,0.0,0.0,2.4,0.0,0.9,2.9,1.0,1.0,1.7,0.0,0.0,1.5,0.0,1.9
22,9.5,4.0,14.5,11.9,12.0,5.2,18.8,6.9,10.9,42.8,13.8,8.0,11.7,5.4,9.2,7.0,10.3,6.6,7.7,1.0,0.0,7.8,0.0,2.5,0.0,0.9,14.6,12.2,5.0,2.7,1.0,0.9,2.8,1.9,11.9
23,10.7,15.4,7.3,24.8,10.3,12.2,5.2,0.9,5.4,17.0,8.2,2.8,5.7,7.6,7.4,1.8,11.0,30.7,31.0,0.8,3.6,9.5,4.2,0.0,3.4,0.0,0.6,14.7,3.5,12.6,2.3,0.0,3.5,0.0,0.8
24,3.4,3.3,3.1,9.3,4.1,5.9,4.2,0.0,1.7,2.8,2.7,0.9,1.8,2.5,4.4,2.1,1.9,14.2,14.1,0.0,1.7,2.6,0.0,6.0,0.0,1.8,1.9,4.3,0.0,2.6,1.0,0.0,1.8,1.0,0.9
25,0.0,0.0,0.3,1.8,1.6,0.9,1.9,0.6,0.6,4.4,0.0,0.0,1.8,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.9,1.7,0.9,0.0,0.0,0.0,3.6,3.5,0.0,0.8,0.0,1.0,0.0,0.0,0.0
26,11.0,8.6,17.8,16.4,9.4,4.6,20.0,6.8,14.4,36.7,25.7,9.9,11.3,5.8,10.7,3.5,15.3,8.1,8.1,0.0,1.8,7.3,21.1,1.1,0.0,1.7,0.0,17.5,8.5,2.7,0.4,0.0,14.8,3.6,15.8
27,36.0,17.7,19.8,39.3,25.7,17.0,28.7,3.5,9.9,26.2,18.5,25.6,12.7,20.8,20.4,17.9,29.1,25.0,20.5,1.0,2.4,7.9,12.3,7.1,1.4,1.0,15.0,0.0,19.4,22.4,6.1,3.7,23.0,5.3,13.0
28,8.5,12.3,11.0,14.8,5.6,7.7,4.5,3.0,2.8,18.7,8.5,14.7,8.0,5.7,10.2,12.5,8.2,11.2,5.5,0.0,0.9,0.9,7.7,5.3,0.0,0.0,5.1,26.3,0.0,4.5,12.3,1.9,33.9,10.6,8.2
29,12.5,6.9,11.1,31.0,19.6,11.8,7.9,1.5,3.5,14.9,8.1,6.1,7.8,9.8,8.3,8.1,9.0,37.2,34.1,2.3,0.9,8.6,1.9,25.3,0.9,1.7,5.2,31.1,0.9,0.0,1.8,0.5,1.9,1.0,4.9
30,3.8,4.4,5.1,8.0,4.0,4.1,3.5,1.8,2.7,4.7,2.0,0.9,1.7,3.2,4.5,0.8,3.1,0.8,2.7,0.9,0.0,0.9,2.0,2.6,0.0,0.9,1.0,11.9,11.0,1.3,0.0,0.8,9.9,2.9,4.5
31,1.2,0.6,0.8,1.7,3.1,0.0,0.9,0.9,0.9,3.8,1.2,0.9,0.0,0.7,3.2,0.0,0.8,0.6,2.6,0.0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,5.8,5.6,1.6,1.0,0.0,7.4,1.7,0.9
32,13.0,4.7,11.3,20.2,11.5,13.5,4.1,2.8,6.1,15.5,13.8,7.6,13.1,8.9,3.8,12.2,10.2,7.2,3.8,0.9,1.9,6.4,5.6,5.3,2.8,0.7,12.1,27.8,45.9,2.7,8.7,1.9,0.0,21.3,39.2
33,4.2,2.7,4.0,7.7,6.1,2.6,1.9,1.9,2.7,10.4,4.3,1.0,1.8,3.5,4.6,2.8,4.1,7.3,6.3,0.0,0.8,2.0,0.0,5.2,0.0,1.9,1.6,10.8,13.7,0.9,5.4,0.9,25.7,0.0,19.4
34,14.8,7.0,18.2,18.2,11.0,6.3,15.3,3.7,5.5,22.9,22.6,15.1,11.9,10.3,14.1,6.3,21.6,11.7,11.9,0.9,1.0,7.2,12.0,2.5,0.0,0.8,25.0,23.9,14.7,3.8,4.6,0.5,30.2,11.3,0.0
